,date,id,content,likes,retweets,disc_cat
1,2023-02-27 13:31:28+00:00,1.6302E+18,@Leilayelili میشه ۴۵۰ هزارتومن😂,0,0,sex
0,2023-02-27 13:20:07+00:00,1.6302E+18,@ClownWorld_ Of course this lady of the night doesn’t think u should spilt the hill on a date but wants to argue gender equality… no one else will say it but I will. WHOREEEEE is what she is,0,0,sex
1,2023-02-27 12:33:31+00:00,1.63018E+18,The great boar Twrch Trwyth took on the disguise of the Lady of the Lake in order to spend the night with Geraint.,0,0,sex
0,2023-02-27 13:31:19+00:00,1.6302E+18,@Mistress_Ro 아모야 또 속초임까,0,0,sex
1,2023-02-27 13:30:58+00:00,1.6302E+18,"So women could face the death penalty in South Carolina if they seek an abortion. But what happens if the woman is the mistress of a Republican congressman who is pushing her to get the abortion?
https://t.co/zBWuUxwYO5",0,0,sex
0,2023-02-27 13:29:56+00:00,1.6302E+18,@mika_sugarbaby Me too,0,0,sex
1,2023-02-27 13:29:32+00:00,1.6302E+18,paired with this pseudo-spiritual bullshit that implies any woman who doesn't want to engage in a sugar baby-esque dynamic with their partner is lacking feminity and destined for unhappiness with a bum.,0,0,sex
0,2023-02-27 13:31:34+00:00,1.6302E+18,@45LVNancy @GuntherEagleman @HarperLee6557 @cb6184444 @RealHickory @HappyHorseGirl1 @FascistTwatter @Notmyfault99 @ZekeGary2 @dpl_3 @Beard_Vet https://t.co/kMDdTKBfmB,0,0,sex
1,2023-02-27 13:31:32+00:00,1.6302E+18,Yaassss!,0,0,sex
0,2023-02-27 13:31:31+00:00,1.6302E+18,SHE CHECKED THE INFAMOUS FEMINIST CHICK 😳 @whatever https://t.co/QelgqquAJe via @YouTube 🔥🔥🔥🔥,0,0,sex
1,2023-02-27 13:31:31+00:00,1.6302E+18,Chick-fil-A puts CRACK in those breakfast bowls.,0,0,sex
0,2023-02-27 13:31:39+00:00,1.6302E+18,early bird,0,0,sex
1,2023-02-27 13:31:38+00:00,1.6302E+18,@Fire_Bird_O 俺発狂しちゃう,0,0,sex
0,2023-02-27 13:31:40+00:00,1.6302E+18,@wee_doll @AVFTB @BelfastGiants @fonacabbelfast @xwillyedgex,0,0,sex
1,2023-02-27 13:31:39+00:00,1.6302E+18,Spending money on a hobby could be hard to resist at present. ... More for Aquarius https://t.co/NO8MMuknVa,0,0,sex
0,2023-02-27 13:31:41+00:00,1.6302E+18,@FermThai โอเคค่า เดี๋ยวเลิกงานแล้วเราทักDMไปนะคะ 🙇,0,0,sex
1,2023-02-27 13:31:40+00:00,1.6302E+18,@IfyAniebo @g0libe he’s married to a babe!!,0,0,sex
0,2023-02-27 13:31:42+00:00,1.6302E+18,🔥私密社交平台 https://t.co/pZ79IHZAXv,0,0,sex
1,2023-02-27 13:31:42+00:00,1.6302E+18,"#InThatNumber 1️⃣8️⃣2️⃣

@RayHunt84 &amp; @moscowmush go over the sickening game at Elland Rd and discuss Rubén Sellés appointment 

🗞️ ITN News
👔 Sellés 
⚪️ #Leeds defeat
⚫️ up for the cup #grimsbytown 
🦊 Foxes in town

#SaintsFC 
https://t.co/R8MGQWP0aB
https://t.co/T8jDKrPzhL https://t.co/rWZXOBKVN5",0,0,sex
0,2023-02-27 13:31:43+00:00,1.6302E+18,Win streak cutie.,0,0,sex
1,2023-02-27 13:31:43+00:00,1.6302E+18,huhu manifest po cutie,0,0,sex
0,2023-02-27 13:31:00+00:00,1.6302E+18,How can a hottie like myself get your snapchat?,0,0,sex
1,2023-02-27 13:29:28+00:00,1.6302E+18,@xoanoire https://t.co/iLstiUd2LC,0,0,sex
0,2023-02-27 13:25:33+00:00,1.6302E+18,"@yourmansnthem Sadly, not one kid in that classroom mustered the courage to open a can of ""whoop ass"" on this undisciplined, piece of sh!t. Times have certainly changed for the worse.",1,0,sex
1,2023-02-27 13:25:30+00:00,1.6302E+18,"Negative Nancy’s, Debbie Downers &amp; People who’re just here to be a nasty ass piece of work will be blocked - simple as. Im here to stan my faves not to deal with internet monsters who clearly weren’t hugged enough as a child. https://t.co/9X7mtZ86er",0,0,sex
0,2023-02-27 13:27:18+00:00,1.6302E+18,"@CharlotteHollo But it's OK, apparently he's a bit of eye candy and his wife is a bit of a chuckle, so his voting record can be ignored.",0,0,sex
1,2023-02-27 13:18:50+00:00,1.6302E+18,"@JNBallingOut @DecaturboyMusic @marycraddock77 @BallsackSports That’s my point, those games are eye candy. But Jokic who scored 30+ in 27m against the Rockets is a better player than Dame because he’s more efficient and will probably win MVP again. He’ll probably never touch 70 because games are long over before he has a chance.",0,0,sex
0,2023-02-27 13:26:22+00:00,1.6302E+18,@averyscaredcat seems like only yesterday when he was posting photos of himself shirtless &amp; “adorable” sketches of Dogbert he’d drawn for his 20-yr-old trophy wife—how time flies…,0,0,sex
1,2023-02-27 13:26:02+00:00,1.6302E+18,"Namanya juga idup, kadang pengen jadi independent woman, kadang pengen jadi trophy wife, kadang juga pengen jadi sugar baby (walaupun kalo diliat dari umur keknya malah pantesnya jadi sugar mommy). Pffft🙄",0,0,sex
0,2023-02-27 09:39:00+00:00,1.63014E+18,i can’t even be inspired by my peers without a bitch thinking i’m trying to be her like girl i just liked ur makeup!!,0,0,sex
1,2023-02-27 09:34:33+00:00,1.63014E+18,keeping my theo von obsession under wraps bc he seems like someone bigoted white men would like,0,0,sex
0,2023-02-27 00:18:16+00:00,1.63E+18,i’m gonna go hit the gym and become a man-whore now,0,0,sex
1,2023-02-26 18:09:49+00:00,1.62991E+18,"”GINSBERG YOU PIECE OF SHIT”
”AT LEAST I’M NOT A HUSSY. MAN-WHORE. I’M NOT CUTE, I’M NOT A GOOD BOY, I’M NOT A VIRGIN-“ that last one was a bluff- ”I HOPE YOU ROT IN THE 7TH CIRCLE OF HELL YOU FREAK. DIE.”",0,0,sex
0,2023-02-27 13:31:40+00:00,1.6302E+18,@RepArgNac Esa foto es del gigolo,0,0,sex
1,2023-02-27 13:30:45+00:00,1.6302E+18,This is me as a father,0,0,sex
0,2023-02-27 13:06:44+00:00,1.63019E+18,@Escortdatabase How do i go about it iam male escort,0,0,sex
1,2023-02-27 11:54:24+00:00,1.63017E+18,spent half an hour looking through male escort listings in economically deprived english towns yesterday,0,0,sex
0,2023-02-27 13:31:21+00:00,1.6302E+18,Yes sugar daddy ?,1,0,sex
1,2023-02-27 13:31:15+00:00,1.6302E+18,in need of a sugar daddy lmao,2,0,sex
0,2023-02-27 13:31:51+00:00,1.6302E+18,"They chose a Tinubu over an Osinbajo. 

That shows the true nature of the so-called structure party, a cult for evil-mongers who continue to run the entire nation into the ground. 

PS: As for PDP, I’ll get to you later.",0,0,sex
1,2023-02-27 13:31:50+00:00,1.6302E+18,Marynin John hakkında konuştuğunu duydu. un ebeveyni  ve Marynin evleninceye kadar birlikte yaşamalarını istemiyor. Yanımda neredeyse hiç param yok. Paris Japon kızları için büyük bir #gebzeescort  #gebze e s c o r t cazibeye sahiptir. . https://t.co/0IyH0YhHmt,0,1,sex
0,2023-02-27 13:31:30+00:00,1.6302E+18,Said he callin from Atlanta say he miss me.. well well well,0,0,sex
1,2023-02-27 13:31:18+00:00,1.6302E+18,A power struggle could be hard to rein in today. With the pett... More for Gemini https://t.co/6JnOaKxlZu,0,0,sex
0,2023-02-27 13:31:53+00:00,1.6302E+18,@JT__v2 @ChelsMHL_ Agree. But I can still not clap players tjay come over and clap. It means fuck all of they don’t do it on the pitch.,0,0,sex
1,2023-02-27 13:31:52+00:00,1.6302E+18,"@CFCPys @Matt_Law_DT Looks like he really can't stand the pressure from his own players or his own fans. If he having doubt I really can't see he staying much longer. With the players having doubts towards him, it really on him and his assistances turn this around otherwise, rehire tuchel back TODD",0,0,sex
0,2023-02-27 13:31:48+00:00,1.6302E+18,Aside from the picks with Nashville’s track record of developing D would anyone be surprised if Foote turned into a stud?,0,0,sex
1,2023-02-27 13:31:44+00:00,1.6302E+18,Getting heated regarding routine responsibilities is a risk fo... More for Capricorn https://t.co/OzvVIU6sBZ,0,0,sex
0,2023-02-27 13:30:35+00:00,1.6302E+18,Or that womanizer guy you dont understand why they love to annoy somebody (dazai preference) https://t.co/uF4EEcmkaH,0,0,sex
1,2023-02-27 13:28:04+00:00,1.6302E+18,"@absolutelyMKH @AlanShipnuck I'd say well done Tiger! Let's see wife chases with golf club, womanizer, accidents, plays with tampons. If I was Stienberg would have dumped him, not MONEY!!!",0,0,sex
0,2023-02-27 13:31:52+00:00,1.6302E+18,"「Demon Slayer: Kimetsu no Yaiba, Vol. 20 (20)」
Author：Koyoharu Gotouge
Publisher：VIZ Media LLC
Publication date：February 02, 2021
https://t.co/gaRlYmeg3t",0,0,sex
1,2023-02-27 13:31:48+00:00,1.6302E+18,"@izukny Oh non par contre comparer l'humour de Kaguya Sama à celui de Demon Slayer c'est pas possible !!!
Je veux bien que tu sois passionné mais y a des limites à pas dépasser là 😭",0,0,sex
0,2023-02-27 13:31:46+00:00,1.6302E+18,"@BluRadioCo Don Nestor, este tipo no le escucha, porque esta embalado. Asi de simple.",0,0,sex
1,2023-02-27 13:31:42+00:00,1.6302E+18,"物欲が！

https://t.co/Mn2uGfymG4",0,0,sex
0,2023-02-27 13:31:37+00:00,1.6302E+18,@jcpcol Gmgm bud,0,0,sex
1,2023-02-27 13:31:28+00:00,1.6302E+18,Eu detesto este gajo. Está constantemente a aparecer-me no insta e é só irritante,0,0,sex
0,2023-02-27 12:58:45+00:00,1.63019E+18,"@dimitrov2k A pick-up artist, but for dev followers.
Disgusting.",0,0,sex
1,2023-02-27 07:53:03+00:00,1.63011E+18,"Scott Adams is a grifter with the personality of a pick-up artist who's also pretending to be a psychic, if the weird turbo-racism came as a surprise, you haven't been studying your types of guys.",0,0,sex
0,2023-02-27 12:32:12+00:00,1.63018E+18,@FWPlayboy I like the fact that you are not afraid to challenge the current status-quo in the Seduction community. An authentic voice,1,0,sex
1,2023-02-25 20:48:27+00:00,1.62958E+18,"The Game: The Game by #AngelaWashko is a #feminist video #game presenting the #politics, tactics, and practices of the male pick-up #artist and seduction community. 
https://t.co/QixYsA5U3T https://t.co/raNKgEZRST",1,0,sex
0,2023-02-27 13:31:50+00:00,1.6302E+18,"@JimmyDeuxFois__ Tu t’es demandé si ceux que tu as toi-même harcelé se sont courus en l’air.
C’est parce que t’as effacé tes tweets depuis que efface ton comportement problématique.
En tout cas, t’es relativement mal placé pour faire la morale à ceux qui ont remis un incel à sa place…",0,0,sex
1,2023-02-27 13:31:46+00:00,1.6302E+18,"@callateprogre Si existe, los judíos",0,0,sex
0,2023-02-27 13:00:19+00:00,1.63019E+18,euuuu,0,0,sex
1,2023-02-27 12:53:44+00:00,1.63019E+18,"@baniarla Myöskin munkit ovat omasta tahdostaan selibaatissa* joten määritemällisesti volcel ei incel.

*Kuten tuolla jo sanottiin eivät aina olleet kovinhyviä pitämään sitä siveysvalaansa yllä.",0,0,sex
0,2023-02-27 13:30:01+00:00,1.6302E+18,"@choquei Ele é mgtow, né. Atitude típica https://t.co/8Bjlf5Ji3p",0,0,sex
1,2023-02-27 13:29:29+00:00,1.6302E+18,"Roses are red,
Violets are blue,
If you have lunch with a Nazi,
What does that make you? (Borrowed)
#ConservativesAreNazis #NeverVoteConservative #MGTOW",0,0,sex
0,2023-02-27 13:31:48+00:00,1.6302E+18,"@Quoll_pua 現状スト勢なのですが
月平均10即はできるので
100即達成後は
🦌ノック予定なのですが
メイク知識全然なく
お勧めのメイク道具知りたいです。",0,0,sex
1,2023-02-27 13:31:39+00:00,1.6302E+18,"@jimichaS7 がちすか！
ぼく全員余裕で可食内す",0,0,sex
0,2023-02-27 13:32:02+00:00,1.6302E+18,Tudo o que eu sei sobre esse cara redpill frustrado porque nenhuma mulher aguenta ele é contra minha vontade,0,0,sex
1,2023-02-27 13:31:57+00:00,1.6302E+18,"@Carter57066870 @TVext @Axy0m I feel shame but it’s not for me it’s for you and people like you. It must be exhausting being you, but I will say I’m pleasantly surprised that you don’t pay $8 for twitter. Enjoy your red pill.",0,0,sex
0,2023-02-27 13:30:11+00:00,1.6302E+18,@McfarlaneGlenda @Martyupnorth_2 The blue pill?  You're plugging back into the matrix?  Absolute L0Lz,0,0,sex
1,2023-02-27 13:27:34+00:00,1.6302E+18,"@Liberty_Vegan @KyleMatovcik dont even get me started on the optimal nutrition aspect of vegan v carnivore.  Thinking meat causes heart disease is the ultimate blue pill... btw, I ate a vegan diet for 2 years 10 years ago.  Or rather the WEF peasant diet. Maybe in 10 years you will be more evolved ;)",0,0,sex
0,2023-02-27 13:31:59+00:00,1.6302E+18,Mal conversei e já tô na friendzone que bacanaa,0,0,sex
1,2023-02-27 13:31:08+00:00,1.6302E+18,"@taetruthlove @HadokenExx parece ser uma amiga que ele fez no japao sla, mas ele fez um texto bem meloso o que leva a uma possivel friendzone bolada",0,0,sex
0,2023-02-27 13:31:56+00:00,1.6302E+18,@AshleyDCan Tittens.  Nice,0,0,sex
1,2023-02-27 13:31:45+00:00,1.6302E+18,@AndaGoldToken Nice one guys,0,0,sex
0,2023-02-27 13:32:08+00:00,1.6302E+18,Imagine calling yourself an alpha male but you’re balding in your 30’s lmao #AndrewTate https://t.co/GrfoMBDlrg,0,0,sex
1,2023-02-27 13:32:07+00:00,1.6302E+18,@rgfray1 @jakepaul At this moment he knew he fucked up 😅,0,0,sex
0,2023-02-27 13:32:09+00:00,1.6302E+18,"Granblue Fantasy: Versus Rising estará presente en el próximo torneo competitivo de juegos de lucha EVO 2023 con su propio torneo de beta abierta.
#gaming #gamingnews #GranblueFantasy #Evo2023 
https://t.co/caE7bg2xkO",0,0,sex
1,2023-02-27 13:32:08+00:00,1.6302E+18,no but paulina and william is such a mindfuckery bc i keep looking at the “will” part like “OH WILLOW” but its not bc willow’s called paulina and william is actually beta hunter,0,0,sex
0,2023-02-27 13:32:08+00:00,1.6302E+18,@postman4685 *friend,0,0,sex
1,2023-02-27 13:31:56+00:00,1.6302E+18,vi algumas pessoas tirando o everything is love (que ela fez com o Jay-z) e mds gente??? aquele álbum é uma obra de arte,0,0,sex
0,2023-02-27 13:10:03+00:00,1.63019E+18,"கரெக்ட்ங்க ! ஆனா Hypergamy படி பையன் அவள்ல விட நல்ல நிலமைல இருக்க ஒரு ஆள்ல தான் choose பன்னுவாங்க. பொன்னு 80,000 சம்பாரிச்சா பையன் ஒரு லட்சம் சம்பாரிக்கனும் அத தான் அவங்க சொல்ல வராங்க",0,0,sex
1,2023-02-27 13:05:50+00:00,1.63019E+18,"@meghaverma_art @ShreyaPattar Irony is no ""rich"" girl would settle for a normal guy...she would definitely choose a man richer than her..call it hypergamy or whatever...so technically she is the ""poor"" girl.

And yeah the cases for not being this is very very less!",0,0,sex
0,2023-02-27 13:30:36+00:00,1.6302E+18,@alinneistyping @EBRnotronsite @semvalentoes Só pela cara da pra ver que é feminazi. É regra simples: Se bateu é pq aguenta. Vai achando que todo homem é otário de não revidar pq é muie. Só tenta.,0,0,sex
1,2023-02-27 13:28:44+00:00,1.6302E+18,"@epigmenioibarra @DrIlIlIlIilIll1 Manifestación rara, no hubo vandalismo, ni una feminazi.",0,0,sex
0,2023-02-27 13:24:15+00:00,1.6302E+18,"He is so grateful for her compassion because he doesn't think he is deserving of even this.

[ Episode 50 | #KathaAnkahee ] https://t.co/vqlJgjSWur",3,2,sex
1,2023-02-27 13:18:43+00:00,1.6302E+18,@bandit_zombie Second loss in 2 weeks,0,0,sex
0,2023-02-27 13:30:54+00:00,1.6302E+18,"@GuardianBooks News flash for the “woke generation”. Ian Fleming was a misogynist and a racist. Here’s a thought, if that “upsets” you so much, don’t read his books.",0,0,sex
1,2023-02-27 13:30:51+00:00,1.6302E+18,"@LaLigaChampion @Ammar_NKR @TittyRuxpin @morningshowon7 You replied to me, incel boy. Why are you defending misogynist human traffickers?",0,0,sex
0,2023-02-27 13:31:51+00:00,1.6302E+18,The numbers support this statement,0,0,sex
1,2023-02-27 13:30:59+00:00,1.6302E+18,👍👍,0,0,sex
0,2023-02-27 13:28:32+00:00,1.6302E+18,@Khanyiithyst Did a representative from the fragile masculinity association say that to you?,1,0,sex
1,2023-02-27 13:15:46+00:00,1.63019E+18,Insecure iranian man with fragile masculinity crying in the mentions and qrts🤭,3,0,sex
0,2023-02-27 13:22:18+00:00,1.6302E+18,@blitziod @lindyli Mansplain more. Women love it!,0,0,sex
1,2023-02-27 13:20:16+00:00,1.6302E+18,"@sianharries_ @sliderulesyou Mansplain alert, but Cillit Bang black mould remover works 100x better than bleach.",2,0,sex
0,2023-02-15 03:33:45+00:00,1.6257E+18,manterruptとかいう表現を知って笑っている,0,0,sex
1,2023-02-14 13:28:25+00:00,1.62549E+18,"2023 GOALS:
Mansplain
Manspread
Manterrupt
Toxic Masculinity",2,0,sex
0,2023-02-23 08:39:28+00:00,1.62868E+18,"👩 SHE had an idea about the evening and was promptly ignored. 

👨 I just repeated it and was applauded before I could say it was HER idea! 

🙏🏼 I apologised.  

⚙️ This phenomenon is called ‘HEpeating’ , like repeating but somehow it makes more sense…https://t.co/qmMsCNCeTc",0,0,sex
1,2023-02-22 01:03:00+00:00,1.6282E+18,Hepeating: Se refiere a cuando él (He) repite algo,0,0,sex
0,2023-02-27 13:00:36+00:00,1.63019E+18,i love wearing pants cos i can manspread as much as i want and no one cares,0,0,sex
1,2023-02-27 12:48:37+00:00,1.63019E+18,@pixie_revolver i WANT it to be gerard but i don't think it is because unless he cut it (not manifesting this) we'd see his hair bc it was like shoulder length? also i've never seen G manspread like that before i refuse to believe he sits like that also those shoes don't look like something /1,0,0,sex
0,2023-02-27 13:32:22+00:00,1.6302E+18,@g123_en what is bro waffling about,0,0,sex
1,2023-02-27 13:32:22+00:00,1.6302E+18,"@HBrubanter @graham__hoyle It’s tantamount to a war crime bro, let alone a disgrace.",0,0,sex
0,2023-02-27 13:32:23+00:00,1.6302E+18,CAKEP BANGET DUNIA SANGAT INDAH DENGAN ADANYA NATAN DAN AAMON,0,0,sex
1,2023-02-27 13:32:21+00:00,1.6302E+18,"@_max_doe_ Klingt gut! :)

Die im Callcenter sind leider wirklich inkompetent. :D Mir hatten die damals nen Trainertermin ""gebucht"". Im Studi wurde schon eine vor mir wieder nach Hause geschickt, weil das einfach nicht an die Studios kommuniziert wird und so schnell gar nicht gehe. 😅",0,0,sex
0,2023-02-27 13:32:25+00:00,1.6302E+18,@Oliveresuana Beautiful moment! He genuinely deserved it too.,0,0,sex
1,2023-02-27 13:32:25+00:00,1.6302E+18,Hope you guys are having a great weekend!  https://t.co/XuIks1eC7F,0,0,sex
0,2023-02-27 13:32:26+00:00,1.6302E+18,@GrueneBundestag @katdro @BriHasselmann @IreneMihalic @filizgreen @LamyaKaddor @herr_emmerich Also stand heute könnte man Denken Ihr seid Ableger von A.H. Wobei ich vergaß Eure Gründer waren ja von der NSDAP ergo würdet Ihr euch ja Freuen wenn der Reichstag brennen würde oder?,0,0,sex
1,2023-02-27 13:32:25+00:00,1.6302E+18,"@KatsinaY An Igbo man, in Lagos. An Obidient. But I wish to congratulate you on this stride. Just emulate the good life of Yar'adua. God bless you.",0,0,sex
0,2023-02-27 13:32:41+00:00,1.6302E+18,"凄いなももさん、そこに""いる""じゃん…",0,0,gender
1,2023-02-27 13:31:05+00:00,1.6302E+18,@dojakedi @ardabaroz ay engellememis tmm 😍,0,0,gender
0,2023-02-27 13:32:31+00:00,1.6302E+18,https://t.co/SxMvgWRoBx,0,0,gender
1,2023-02-27 13:31:54+00:00,1.6302E+18,@DanaPerino Me Mr me,0,0,gender
0,2023-02-27 13:28:22+00:00,1.6302E+18,Pigang piga,0,0,gender
1,2023-02-27 13:26:21+00:00,1.6302E+18,@jinsrightnut In love with her hips gtfo lmao,0,0,gender
0,2023-02-27 13:31:40+00:00,1.6302E+18,@Artem32161237 @ShenmueForever @Shenmue_Dojo #shemale,0,0,gender
1,2023-02-27 13:30:25+00:00,1.6302E+18,@nado_cuty @nado_shemale انثي,0,0,gender
0,2023-02-27 11:40:42+00:00,1.63017E+18,@Alphafox78 Fine that thing can call me what ever it likes. If it was born with a dick it is not a chick.,0,0,gender
1,2023-02-27 10:44:20+00:00,1.63016E+18,@ClownWorld_ So basically a cross dresser that is gay but is so delusional that they want to change what defines a woman? A chick with a dick. Got it….,0,0,gender
0,2023-02-27 07:28:05+00:00,1.63011E+18,Been asked to address my thoughts on transgenders. Didn’t want to give the he-she’s my attention as I believe it is an attention seeking spin.,1,0,gender
1,2023-02-27 04:30:18+00:00,1.63006E+18,"He-she is taking Sam Brinton’s old job as non-binary Nuclear Waste Official. He’s, I mean she’s O’Biden’s new Nuclear Official?",1,0,gender
0,2023-02-27 13:32:31+00:00,1.6302E+18,"@nonoxcol @graham_meikle @idca__ @tomewing @peoples_pop Zig and Zag; Gordon the Gopher; Ed the Duck, America would not understand. I think it would blow America’s mind to know that Mr. Blooby, he who forever lurks in the shadows, is not even from kids TV, but an actual manifestation of the 80’s cursed TV generation",0,0,gender
1,2023-02-27 13:32:31+00:00,1.6302E+18,"Self-discipline doesn't deprive you - it grants you freedom.

“But the fruit of the Spirit is love, joy, peace, longsuffering, kindness, goodness, faithfulness, gentleness, self-control. Against such there is no law.”
Galatians 5:22-23 NKJV",0,0,gender
0,2023-02-27 13:32:57+00:00,1.6302E+18,"baru aja bahagia, dah badmood lagi ajaa:(",0,0,gender
